apls,cldice,condition,dice,image_id,iou,mean_off_road_successes,precision,queries,recall,route_success,safe_route_success
0.05740682186603356,0.8280978801096245,bc_medium,0.6939256227842681,15928900_15,0.5313063596451278,nan,0.8029789928691391,12,0.6109516727067055,0.0,0.0
0.04984193822757247,0.8570064606473378,clean,0.7655940814689366,15928915_15,0.6202125815955173,0.003817289328439547,0.7965058051114655,12,0.7369920373421197,0.5833333333333334,0.5833333333333334
0.0,0.47208450606081503,blur_medium,0.3745727956254272,15928915_15,0.2304457527333894,0.0,0.9208226912219384,12,0.2351043382756727,0.08333333333333333,0.08333333333333333
0.04984193822757247,0.8556763919556988,shadow_medium,0.7615129204561859,15928915_15,0.6148735283832615,0.003817289328439547,0.8028919330289194,12,0.7241900054914882,0.5833333333333334,0.5833333333333334
0.0,0.7027094203549721,noise_medium,0.5999316239316239,15928915_15,0.4285016604805626,nan,0.892937105638103,12,0.45170922570016475,0.0,0.0
0.006165958132353264,0.7325364493340084,bc_medium,0.6516916369232084,15928915_15,0.4833402022635767,0.0,0.8636492380898431,12,0.5232701812191104,0.08333333333333333,0.08333333333333333
0.37234730732898763,0.8795414324762498,clean,0.7533829402131755,15928945_15,0.6043419142218432,0.034449825629368776,0.7723778386498189,12,0.7352998906429633,0.5833333333333334,0.5
0.0,0.6232145631665496,blur_medium,0.519828695435079,15928945_15,0.3511949554973143,0.0,0.8248415407118479,12,0.3794969576311583,0.08333333333333333,0.08333333333333333
0.35187319043975235,0.8469947492717977,shadow_medium,0.7343821552551887,15928945_15,0.5802558476119334,0.03591473367451514,0.7760052447552448,12,0.6969968875304938,0.5,0.4166666666666667
0.024123752384462717,0.7195332594541607,noise_medium,0.620023751742655,15928945_15,0.44930030681733146,0.006880733944954143,0.8027453427221678,12,0.5050612679808204,0.08333333333333333,0.08333333333333333
0.015804809754721948,0.7611193319662717,bc_medium,0.6533642844207372,15928945_15,0.48518264951831386,0.026126419526166567,0.7912512959566154,12,0.5564029947003898,0.16666666666666666,0.16666666666666666
0.34701553137807356,0.8173316380404994,clean,0.7382394197543536,16228855_15,0.5850867678958785,0.04141960929364553,0.6818339811040541,12,0.8048189176084443,0.9166666666666666,0.6666666666666666
0.015741940092507175,0.5975996989457696,blur_medium,0.4902549544139324,16228855_15,0.3247269834382006,nan,0.9141810037666701,12,0.33493715266122115,0.0,0.0
0.34701553137807356,0.7462465341900777,shadow_medium,0.6750414440965187,16228855_15,0.509481176666852,0.0635998413819594,0.6668364933221733,12,0.6834508224236321,0.3333333333333333,0.16666666666666666
0.030291219581939893,0.5032006865025189,noise_medium,0.42013116940862605,16228855_15,0.2659278803869833,nan,0.8240488389839747,12,0.28193651859311475,0.0,0.0
0.010510930630165666,0.6225207236092472,bc_medium,0.540718743708476,16228855_15,0.3705377160004139,nan,0.8311798839458414,12,0.40069374510462125,0.0,0.0
0.0,0.2829735286525253,clean,0.2513073056810682,16378825_15,0.14371153176170015,nan,0.8057952140647892,12,0.14886770322697063,0.0,0.0
0.0,0.023384705891459665,blur_medium,0.015538026492037506,16378825_15,0.007829843403131937,nan,0.7587209302325582,12,0.007849387988331178,0.0,0.0
0.0,0.2829735286525253,shadow_medium,0.2513073056810682,16378825_15,0.14371153176170015,nan,0.8057952140647892,12,0.14886770322697063,0.0,0.0
0.0,0.1032285471537808,noise_medium,0.07378494810188799,16378825_15,0.038305664795412926,nan,0.9550898203592815,12,0.038374785720730206,0.0,0.0
0.0,0.11125211505922165,bc_medium,0.0792364695366339,16378825_15,0.04125258954574113,nan,0.9608391608391609,12,0.04132206550178942,0.0,0.0
0.0,0.0,clean,0.0,16828900_15,0.0,nan,0.0,12,0.0,0.0,0.0
0.0,0.0,blur_medium,0.0,16828900_15,0.0,nan,0.0,12,0.0,0.0,0.0
0.0,0.0,shadow_medium,0.0,16828900_15,0.0,nan,0.0,12,0.0,0.0,0.0
0.0,0.0,noise_medium,0.0,16828900_15,0.0,nan,0.0,12,0.0,0.0,0.0
0.0,0.0,bc_medium,0.0,16828900_15,0.0,nan,0.0,12,0.0,0.0,0.0
0.24340192918610548,0.8819638914217661,clean,0.7752303260218489,17128885_15,0.6329600924097328,0.04462800522200714,0.755306554616244,12,0.7962336893789806,0.5,0.3333333333333333
0.003509368147318202,0.5613031919913415,blur_medium,0.47728186740382944,17128885_15,0.3134407197148719,nan,0.8599847444698703,12,0.33029630107048064,0.0,0.0
0.1977367717603926,0.8362859031780058,shadow_medium,0.7363291139240506,17128885_15,0.5826905739757587,0.035389773120084705,0.7581316833096463,12,0.7157454986494484,0.3333333333333333,0.25
0.0002446320642839786,0.28537128264970296,noise_medium,0.23390159700225238,17128885_15,0.13243973076768062,nan,0.8843521722414456,12,0.13477392175589292,0.0,0.0
0.018490144656452337,0.7018261341770697,bc_medium,0.6172525140695636,17128885_15,0.4463956871013371,nan,0.8337653533258893,12,0.490007089663739,0.0,0.0
