image_id,query_index,method,success,expanded_nodes,off_reference_r0,routeconform_0.05_r0,off_reference_r1,routeconform_0.05_r1,off_reference_r2,routeconform_0.05_r2,off_reference_r3,routeconform_0.05_r3
11278840_15,63,Soft-probability A*,1,3517,0.012987012987012991,1,0.0,1,0.0,1,0.0,1
11278840_15,63,Topology+Risk A*,1,4798,0.0,1,0.0,1,0.0,1,0.0,1
11278840_15,64,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,64,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,65,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,65,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,66,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,66,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,67,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,67,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,68,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,68,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,69,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,69,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,70,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,70,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,71,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,71,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,72,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,72,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,73,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,73,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,74,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,74,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,75,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,75,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,76,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,76,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,77,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,77,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,78,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,78,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,79,Soft-probability A*,0,0,nan,0,nan,0,nan,0,nan,0
11278840_15,79,Topology+Risk A*,0,0,nan,0,nan,0,nan,0,nan,0
11728825_15,80,Soft-probability A*,1,516,0.0,1,0.0,1,0.0,1,0.0,1
