method,success,path_length,expanded_nodes,planning_time_ms,on_road_ratio,off_road_ratio,average_risk,max_risk,min_boundary_distance,relative_detour,query_index,image_id
Binary-mask A*,1,529.6883835420699,19477,171.46659999999514,0.9827586206896551,0.017241379310344862,nan,nan,nan,0.00202616861005776,26,103722
Soft-probability A*,1,535.9310242291893,25719,257.54349999999704,1.0,0.0,nan,nan,nan,0.013835544696227345,26,103722
Clearance-aware A*,1,547.5878784786817,27679,277.18759999999776,1.0,0.0,nan,nan,nan,0.03588713835881886,26,103722
URA-style A*,1,542.5168106668162,26624,258.0006000000026,1.0,0.0,nan,nan,nan,0.026294059091522232,26,103722
GT Oracle A*,1,528.6173157302044,20435,157.25339999999477,1.0,0.0,nan,nan,nan,0.0,26,103722
Topology+Risk A*,1,547.5878784786817,27574,232.92239999999964,1.0,0.0,nan,nan,nan,0.03588713835881886,26,103722
Binary-mask A*,1,776.4041122946078,33482,319.4665999999984,0.9902642559109874,0.009735744089012566,nan,nan,nan,0.003341593693536802,27,103722
Soft-probability A*,1,779.818325856981,43314,397.57399999999876,1.0,0.0,nan,nan,nan,0.007753757955209049,27,103722
Clearance-aware A*,1,791.8599564173237,46991,435.3174000000024,0.9353507565337001,0.06464924346629985,nan,nan,nan,0.023315072747033018,27,103722
URA-style A*,1,787.4751801064734,44716,401.82019999999596,1.0,0.0,nan,nan,nan,0.017648657046688547,27,103722
GT Oracle A*,1,773.8183258569809,33527,293.1532000000061,1.0,0.0,nan,nan,nan,0.0,27,103722
Topology+Risk A*,1,792.4457428549506,46653,401.99590000000285,0.9697802197802198,0.030219780219780223,nan,nan,nan,0.024072080455500185,27,103722
Binary-mask A*,1,907.0142853498747,44707,419.8840999999973,0.7808716707021792,0.21912832929782078,nan,nan,nan,0.0028590280389625133,28,103722
Soft-probability A*,1,910.428498912248,63066,591.3067999999981,1.0,0.0,nan,nan,nan,0.006634023593038352,28,103722
Clearance-aware A*,1,918.3279938488596,65073,613.1114999999952,0.9436450839328537,0.056354916067146266,nan,nan,nan,0.015368262890132947,28,103722
URA-style A*,1,917.2569260369942,64961,677.7832000000003,1.0,0.0,nan,nan,nan,0.014184014701189778,28,103722
GT Oracle A*,1,904.4284989122478,43893,427.44719999999603,1.0,0.0,nan,nan,nan,0.0,28,103722
Topology+Risk A*,1,918.9137802864866,64487,648.1298000000066,0.9736526946107784,0.026347305389221587,nan,nan,nan,0.01601594973141618,28,103722
Binary-mask A*,1,568.2741699796961,25110,194.7255000000041,0.8667992047713717,0.13320079522862827,nan,nan,nan,0.0,29,103722
Soft-probability A*,1,568.2741699796965,36466,334.3903000000026,1.0,0.0,nan,nan,nan,6.001689522102224e-16,29,103722
Clearance-aware A*,1,568.2741699796965,38279,365.77919999999864,1.0,0.0,nan,nan,nan,6.001689522102224e-16,29,103722
URA-style A*,1,568.2741699796965,39649,389.9131000000011,1.0,0.0,nan,nan,nan,6.001689522102224e-16,29,103722
GT Oracle A*,1,568.2741699796961,25513,241.61090000000485,1.0,0.0,nan,nan,nan,0.0,29,103722
Topology+Risk A*,1,568.2741699796965,38175,293.1838999999954,1.0,0.0,nan,nan,nan,6.001689522102224e-16,29,103722
Binary-mask A*,1,928.6711395993669,41175,339.9569999999983,0.8806146572104019,0.11938534278959811,nan,nan,nan,0.0027921685930987856,30,103722
Soft-probability A*,1,932.0853531617403,59706,563.2084000000007,1.0,0.0,nan,nan,nan,0.006478884456509104,30,103722
Clearance-aware A*,1,939.984848098352,62349,569.981300000002,0.9449648711943794,0.05503512880562056,nan,nan,nan,0.015008870283022988,30,103722
URA-style A*,1,938.9137802864865,62367,626.1236999999937,1.0,0.0,nan,nan,nan,0.01385231618332925,30,103722
GT Oracle A*,1,926.0853531617399,41432,319.3181000000038,1.0,0.0,nan,nan,nan,0.0,30,103722
Topology+Risk A*,1,940.5706345359789,62030,538.7194999999991,0.9742690058479532,0.025730994152046827,nan,nan,nan,0.01564141072395207,30,103722
Binary-mask A*,1,730.8599564173238,34414,299.6333999999976,0.7987987987987988,0.20120120120120122,nan,nan,nan,-0.0021249515804018077,31,103722
Soft-probability A*,1,734.2741699796969,50144,471.4513999999994,0.9715994020926756,0.02840059790732441,nan,nan,nan,0.0025366234504273903,31,103722
Clearance-aware A*,1,742.1736649163086,51906,523.9064000000013,0.9436201780415431,0.05637982195845692,nan,nan,nan,0.01332214921791197,31,103722
URA-style A*,1,745.2447327281741,52345,508.63569999999925,1.0,0.0,nan,nan,nan,0.017515212354778265,31,103722
GT Oracle A*,1,732.4163056034279,34592,337.5770000000031,1.0,0.0,nan,nan,nan,0.0,31,103722
Topology+Risk A*,1,743.5878784786817,51747,530.3725999999997,0.9629629629629629,0.03703703703703709,nan,nan,nan,0.015253036817701212,31,103722
Binary-mask A*,1,507.5096679918784,16527,169.88990000000115,0.995850622406639,0.004149377593360981,nan,nan,nan,0.0032753682582778903,32,103722
Soft-probability A*,1,510.8233764908634,22784,257.7341000000004,1.0,0.0,nan,nan,nan,0.009826104774834121,32,103722
Clearance-aware A*,1,516.6223663640867,24736,263.7410999999972,0.9024896265560166,0.09751037344398339,nan,nan,nan,0.021289893678806793,32,103722
URA-style A*,1,513.308657865102,23027,216.7864000000037,1.0,0.0,nan,nan,nan,0.014739157162251012,32,103722
GT Oracle A*,1,505.85281374238605,17341,159.44530000000157,1.0,0.0,nan,nan,nan,0.0,32,103722
