image_id,bridge_index,reference_supported,curve_nodes,euclidean_gap,mean_q,min_q,total_cost,confidence_cost,length_cost,direction_cost,width_cost,connectivity_gain,used_by_successful_paths,used_by_any_path
10828720_15,46,0,48,47.01063709417264,0.19394265736142793,0.11318051815032959,1.4731870620674528,1.8551863431930542,0.47010637094172636,0.0014477385259457631,0.14644660940672627,-1.0,0,0
10828720_15,47,1,49,49.47726750741192,0.21733763874793538,0.056611210107803345,1.53055884818881,1.6698170900344849,0.49477267507411926,0.024082966088624536,0.34188611699158106,-1.0,0,0
11128870_15,0,1,5,3.1622776601683795,0.35716423988342283,0.29786497354507446,1.1212176874263378,0.9909281134605408,0.0316227766016838,1.0986667973641133,0.0,-1.0,0,0
11128870_15,1,1,6,3.605551275463989,0.3955246259768804,0.37204259634017944,1.963767226655274,0.9275004267692566,0.0360555127546399,1.9716158079224093,0.028595479208968284,-1.0,0,0
11128870_15,2,1,8,7.0710678118654755,0.25556340627372265,0.22821417450904846,0.7258288146454117,1.3485691547393799,0.07071067811865475,0.0717140247323323,0.2348349570550447,-1.0,0,0
11128870_15,3,1,8,7.0710678118654755,0.2227323278784752,0.20268791913986206,0.5817332170044853,1.500972032546997,0.07071067811865475,0.010050506338833531,0.0,-1.0,0,0
11128870_15,4,1,10,7.280109889280518,0.2723470374941826,0.2026834934949875,0.616763721625615,1.2646509408950806,0.07280109889280519,0.021847306874062333,0.25746437496366703,-1.0,0,0
11128870_15,5,1,12,8.54400374531753,0.32069046671191853,0.2211712747812271,0.32047836840614696,1.1729140281677246,0.0854400374531753,0.062124302785247054,0.0,-1.0,0,0
11128870_15,6,1,12,8.54400374531753,0.3986426716049512,0.3445201516151428,0.18689641514104416,0.9880503416061401,0.0854400374531753,0.1134060360817285,0.0,-1.0,0,0
11128870_15,7,1,13,8.94427190999916,0.33645875178850615,0.289332777261734,0.27680173848312273,1.1074159145355225,0.08944271909999159,0.07994310484760869,0.0,-1.0,0,0
11128870_15,8,1,12,9.219544457292887,0.29402226333816844,0.2332673817873001,0.3104332920976838,1.2062182426452637,0.09219544457292889,0.01201960487949122,0.0,-1.0,0,0
11128870_15,9,1,10,9.486832980505138,0.18524803966283798,0.07334586977958679,1.66179453303877,1.9539566040039062,0.09486832980505139,0.6129695992298125,0.0,-1.0,0,0
11128870_15,10,1,12,11.045361017187261,0.1878177896142006,0.0366111621260643,1.8897764243502198,2.1741178035736084,0.11045361017187261,0.6052050106047386,0.0,-1.0,0,0
11128870_15,11,1,18,13.601470508735444,0.29961109906435013,0.18968318402767181,0.636174072080929,1.2682768106460571,0.13601470508735444,0.05384301445590983,0.17803954189160764,-1.0,1,1
11128870_15,12,1,16,14.035668847618199,0.2637250693514943,0.20997440814971924,0.5467630034597126,1.334350347518921,0.14035668847618202,0.07205596746460968,0.0,-1.0,0,0
11128870_15,13,1,20,14.866068747318506,0.16430944595485925,0.01504988968372345,1.481601480701885,2.091285467147827,0.14866068747318503,0.24165532608087276,0.0,-1.0,0,0
11128870_15,14,1,21,16.15549442140351,0.32847172305697486,0.23049791157245636,0.3991256978564055,1.117465853691101,0.16155494421403513,0.012337170227637306,0.1077677297236319,-1.0,0,0
11128870_15,15,0,26,22.561028345356956,0.3254511746076437,0.2593594789505005,0.5466282466773358,1.2726696729660034,0.2256102834535695,0.019752811048794616,0.028595479208968284,-1.0,0,0
11128870_15,16,0,28,28.460498941515414,0.14456315218870128,0.04185973107814789,1.4625513807212664,2.101571798324585,0.28460498941515416,0.07637459298152727,0.0,-1.0,0,0
11128870_15,17,0,39,34.66987164671943,0.3388091102720071,0.01113156508654356,1.6870846633034566,2.0768470764160156,0.3466987164671943,0.1635388704202465,0.1,-1.0,0,0
11128870_15,18,1,40,38.3275357934736,0.16746407151222228,0.09260775148868561,1.458750277787599,1.8212013244628906,0.383275357934736,0.004273595389972573,0.25,-1.0,0,0
11278840_15,0,1,4,2.23606797749979,0.3796451687812805,0.3619024455547333,1.7590296592996282,0.9379643201828003,0.022360679774997897,1.6737046593418299,0.125,-1.0,0,0
11278840_15,1,1,3,2.8284271247461903,0.21662425994873047,0.2141733467578888,1.6701579684414716,1.5239567756652832,0.0282842712474619,1.0132016290497738,0.10471529247895259,-1.0,0,0
11278840_15,2,0,4,3.0,0.27089837938547134,0.259570837020874,1.3226237583160403,1.29262375831604,0.03,1.0,0.0,-1.0,0,0
11278840_15,3,1,5,4.0,0.22430993914604186,0.21465471386909485,1.5707916921836311,1.484808325767517,0.04,1.045983366416114,0.0,-1.0,0,0
11278840_15,4,1,7,4.47213595499958,0.29394467175006866,0.23514164984226227,1.672716518231515,1.2224631309509277,0.044721359549995794,1.4055320277305916,0.0,-1.0,0,0
11278840_15,5,1,7,4.47213595499958,0.34984567761421204,0.3222096860408783,0.1759860214825384,1.05209481716156,0.044721359549995794,0.07916984477098249,0.0,-1.0,0,0
11278840_15,6,1,7,6.0,0.3432158614907946,0.3249768912792206,0.17842930926562106,1.072957992553711,0.06,0.04547131671191018,0.0,-1.0,0,0
11278840_15,7,1,7,6.324555320336759,0.4435857832431793,0.42595750093460083,-0.09323662338101935,0.8169249892234802,0.0632455532033676,0.026592834192132875,0.0,-1.0,0,0
11278840_15,8,1,10,6.4031242374328485,0.3474150627851486,0.3117453157901764,0.964117417848324,1.041827917098999,0.06403124237432849,0.8582582583749965,0.0,-1.0,0,0
11278840_15,9,1,8,7.0,0.3827894777059555,0.25176337361335754,0.5423802624051022,0.9467219114303589,0.07,0.5256583509747431,0.0,-1.0,0,0
11278840_15,10,1,8,7.0710678118654755,0.3593159429728985,0.29342129826545715,0.17066525435800095,1.0899040699005127,0.07071067811865475,0.010050506338833531,0.0,-1.0,0,0
11278840_15,11,0,9,7.0710678118654755,0.30356652869118583,0.25796017050743103,0.3737560058822482,1.2318847179412842,0.07071067811865475,0.0711606098223091,0.0,-1.0,0,0
11278840_15,12,1,11,7.810249675906654,0.37771217118610034,0.3508952856063843,1.0481090319374786,0.982655942440033,0.07810249675906655,0.9873505927383792,0.0,-1.0,0,0
11278840_15,13,1,10,8.06225774829855,0.3694513767957687,0.3265864849090576,0.1719840692737893,1.0126683712005615,0.08062257748298549,0.07869312059024236,0.0,-1.0,0,0
11278840_15,14,1,10,8.06225774829855,0.3886420428752899,0.3631562292575836,-0.0007253809414976553,0.9109299182891846,0.08062257748298549,0.007722123286332261,0.0,-1.0,0,0
11278840_15,15,1,11,8.246211251235321,0.2490352080626921,0.09809575229883194,1.8189479441614997,1.5591228008270264,0.0824621125123532,1.1773630308221201,0.0,-1.0,0,0
11278840_15,16,1,12,8.602325267042627,0.3330359955628713,0.2910781800746918,0.25245579411952646,1.1111862659454346,0.08602325267042626,0.0024598710036233817,0.05278640450004206,-1.0,0,0
11278840_15,17,1,13,8.94427190999916,0.4401894830740415,0.3994501829147339,-0.0444744911273236,0.859330415725708,0.08944271909999159,0.006752374046976872,0.0,-1.0,0,0
11278840_15,18,1,10,9.0,0.2841661974787712,0.24856047332286835,0.418901012365412,1.2649375200271606,0.09,0.035368013129283005,0.028595479208968284,-1.0,0,0
11278840_15,19,1,10,9.0,0.41169256865978243,0.38118183612823486,0.09802866887826656,0.8854832053184509,0.09,0.025658350974743116,0.09688711258507256,-1.0,0,0
11278840_15,20,1,11,10.198039027185569,0.34588240493427624,0.3017115592956543,0.5435640947416918,1.0398163795471191,0.10198039027185571,0.013570723797706241,0.38819660112501053,-1.0,0,0
11278840_15,21,1,14,11.704699910719626,0.19884601767574037,0.16716931760311127,1.0796774354791312,1.6133636236190796,0.11704699910719625,0.20282020334612882,0.14644660940672627,-1.0,0,0
11278840_15,22,1,14,11.704699910719626,0.38148684799671173,0.30292564630508423,0.43174235442048725,0.9927575588226318,0.11704699910719625,0.19693779649065907,0.125,-1.0,0,0
11278840_15,23,1,13,12.0,0.2452858411348783,0.13441377878189087,0.831282185987966,1.481221318244934,0.12,0.04014770421605296,0.18991316352697882,-1.0,0,0
11278840_15,24,1,11,14.142135623730951,0.21944224698977036,0.06617431342601776,1.872658700446232,1.6876118183135986,0.1414213562373095,1.0436255258953242,0.0,-1.0,0,0
11278840_15,25,1,20,14.317821063276353,0.21079934854060411,0.043556131422519684,1.3754763163163908,1.8580338954925537,0.1431782106327635,0.2278176007843476,0.14644660940672627,-1.0,0,0
11278840_15,26,1,16,14.317821063276353,0.37785322964191437,0.33765679597854614,0.3275640287128001,0.9766479730606079,0.1431782106327635,0.0804158412693936,0.12732200375003502,-1.0,0,0
11278840_15,27,0,21,14.422205101855956,0.1978471399772735,0.04241982847452164,1.8692604799964379,1.7533262968063354,0.1442220510185596,0.9717121321715425,0.0,-1.0,0,0
11278840_15,28,1,19,14.866068747318506,0.5035561574132819,0.26198625564575195,0.7880154984677827,0.7237616181373596,0.14866068747318506,0.9155931928572381,0.0,-1.0,0,0
11278840_15,29,1,17,16.0,0.29411858495543985,0.18390442430973053,0.6534388317677717,1.279622197151184,0.16,0.030044400633425783,0.1837722339831621,-1.0,0,0
11278840_15,30,0,18,17.029386365926403,0.24024797230958939,0.09035861492156982,1.8528431203412574,1.4847241640090942,0.17029386365926402,1.0332352892978673,0.16458980337503157,-1.0,0,0
11278840_15,31,1,22,17.46424919657298,0.3763168914751573,0.3198604881763458,0.4337592589120791,1.012054204940796,0.17464249196572978,0.024412660118167784,0.22264990188738543,-1.0,0,0
11278840_15,32,1,23,18.384776310850235,0.2567693144083023,0.07466663420200348,1.7006126078886012,1.4955363273620605,0.18384776310850237,0.8962285174180383,0.125,-1.0,0,0
11278840_15,33,1,26,18.788294228055936,0.2331803088577894,0.08002561330795288,1.614350821310547,1.5620630979537964,0.18788294228055935,0.8644047810761912,0.0,-1.0,0,0
11278840_15,34,1,25,19.209372712298546,0.33327859759330747,0.2651579976081848,0.3054521417044789,1.111907958984375,0.19209372712298545,0.0014504555971184274,0.0,-1.0,0,0
11278840_15,35,1,26,19.924858845171276,0.2566756663414148,0.1945958286523819,0.6108187192961956,1.3685946464538574,0.19924858845171275,0.042975484390625485,0.0,-1.0,0,0
11278840_15,36,1,27,20.591260281974,0.21986278394858041,0.16371536254882812,0.8658919295463825,1.5075575113296509,0.20591260281974003,0.03590430982067677,0.11651750557631477,-1.0,0,0
11278840_15,37,0,27,21.633307652783937,0.24373095289424615,0.18858031928539276,0.6797663290561138,1.4485009908676147,0.21633307652783937,0.01493226166065964,0.0,-1.0,0,0
11278840_15,38,1,27,22.80350850198276,0.2130256568392118,0.12458061426877975,1.3179082241563838,1.5969517230987549,0.22803508501982758,0.3091491820546393,0.1837722339831621,-1.0,0,0
11278840_15,39,1,24,23.021728866442675,0.24099081195890903,0.20533543825149536,0.9963966244637268,1.51735520362854,0.23021728866442676,0.026174230283374733,0.22264990188738543,-1.0,0,0
11278840_15,40,1,27,23.40939982143925,0.21798345115449694,0.11223742365837097,0.8797957475755407,1.5881742238998413,0.2340939982143925,0.028932046252338472,0.028595479208968284,-1.0,0,0
