image_id,query_index,distance_class,variant,mask,score,boundary,success,off_road_ratio,path_length,expanded_nodes,planning_time_ms,safe_success_0.01,safe_success_0.05,safe_success_0.10
10378780_15,13,long,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,13,long,repaired+p+boundary_off,repaired,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,13,long,repaired+p+boundary_on,repaired,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,13,long,repaired+q+boundary_off,repaired,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,13,long,repaired+q+boundary_on,repaired,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,14,long,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,14,long,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,14,long,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,14,long,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,14,long,repaired+p+boundary_off,repaired,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,14,long,repaired+p+boundary_on,repaired,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,14,long,repaired+q+boundary_off,repaired,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,14,long,repaired+q+boundary_on,repaired,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,15,long,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,15,long,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,15,long,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,15,long,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,15,long,repaired+p+boundary_off,repaired,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,15,long,repaired+p+boundary_on,repaired,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,15,long,repaired+q+boundary_off,repaired,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,15,long,repaired+q+boundary_on,repaired,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,16,long,original+p+boundary_off,original,p,0,1,0.0096426545660806,2095.8561312727193,37669,921.6157999999979,1,1,1
10378780_15,16,long,original+p+boundary_on,original,p,1,1,0.0028360748723765816,2099.99826689645,35231,929.6799000000035,1,1,1
10378780_15,16,long,original+q+boundary_off,original,q,0,1,0.01588201928530908,2097.5129855222112,37892,907.8960999999949,0,1,1
10378780_15,16,long,original+q+boundary_on,original,q,1,1,0.003970504821327325,2099.99826689645,34608,898.3831000000038,1,1,1
10378780_15,16,long,repaired+p+boundary_off,repaired,p,0,1,0.0096426545660806,2095.8561312727193,42214,998.6151999999961,1,1,1
10378780_15,16,long,repaired+p+boundary_on,repaired,p,1,1,0.0028360748723765816,2099.99826689645,48054,1235.6483999999953,1,1,1
10378780_15,16,long,repaired+q+boundary_off,repaired,q,0,1,0.01588201928530908,2097.5129855222112,45112,1125.4665999999957,0,1,1
10378780_15,16,long,repaired+q+boundary_on,repaired,q,1,1,0.003970504821327325,2099.99826689645,48143,1289.4434000000033,1,1,1
10378780_15,17,long,original+p+boundary_off,original,p,0,0,nan,nan,0,0.0,0,0,0
10378780_15,17,long,original+p+boundary_on,original,p,1,0,nan,nan,0,0.0,0,0,0
10378780_15,17,long,original+q+boundary_off,original,q,0,0,nan,nan,0,0.0,0,0,0
10378780_15,17,long,original+q+boundary_on,original,q,1,0,nan,nan,0,0.0,0,0,0
10378780_15,17,long,repaired+p+boundary_off,repaired,p,0,1,0.008102456874019892,4491.883835420568,72235,1753.5991000000024,1,1,1
10378780_15,17,long,repaired+p+boundary_on,repaired,p,1,1,0.005228758169934622,4497.0970388561645,67052,1669.7837000000036,1,1,1
