method,success,path_length,expanded_nodes,planning_time_ms,on_road_ratio,off_road_ratio,average_risk,max_risk,min_boundary_distance,relative_detour,query_index,image_id
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,14,100712
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,15,100712
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,15,100712
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,15,100712
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,15,100712
GT Oracle A*,1,1409.5462479183386,49485,446.53500000000076,1.0,0.0,nan,nan,nan,0.0,15,100712
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,15,100712
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,16,100712
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,16,100712
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,16,100712
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,16,100712
GT Oracle A*,1,1336.5239533417534,52002,521.215999999999,1.0,0.0,nan,nan,nan,0.0,16,100712
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,16,100712
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,17,100712
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,17,100712
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,17,100712
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,17,100712
GT Oracle A*,1,1509.8305191658008,46618,419.76689999999905,1.0,0.0,nan,nan,nan,0.0,17,100712
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,17,100712
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,18,100712
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,18,100712
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,18,100712
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,18,100712
GT Oracle A*,1,1181.5828278447987,43442,397.3787000000009,1.0,0.0,nan,nan,nan,0.0,18,100712
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,18,100712
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,19,100712
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,19,100712
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,19,100712
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,19,100712
GT Oracle A*,1,1438.788888605458,44263,411.19250000000204,1.0,0.0,nan,nan,nan,0.0,19,100712
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,19,100712
Binary-mask A*,1,120.7401153701775,4254,42.045800000000355,1.0,0.0,nan,nan,nan,0.0,20,103722
Soft-probability A*,1,120.74011537017752,5095,46.76010000000019,1.0,0.0,nan,nan,nan,1.1769787258884835e-16,20,103722
Clearance-aware A*,1,120.74011537017755,5439,59.376600000000224,1.0,0.0,nan,nan,nan,3.530936177665451e-16,20,103722
URA-style A*,1,120.74011537017752,6233,64.00610000000029,1.0,0.0,nan,nan,nan,1.1769787258884835e-16,20,103722
GT Oracle A*,1,120.7401153701775,4187,38.478299999997745,1.0,0.0,nan,nan,nan,0.0,20,103722
Topology+Risk A*,1,120.74011537017755,5713,70.10860000000108,1.0,0.0,nan,nan,nan,3.530936177665451e-16,20,103722
Binary-mask A*,1,285.953318805774,11642,110.78090000000174,0.909433962264151,0.09056603773584904,nan,nan,nan,-1.987856587858571e-16,21,103722
Soft-probability A*,1,285.9533188057744,14265,137.64189999999843,1.0,0.0,nan,nan,nan,1.1927139527151426e-15,21,103722
Clearance-aware A*,1,285.95331880577436,14055,147.93590000000023,0.969811320754717,0.030188679245283012,nan,nan,nan,9.939282939292855e-16,21,103722
URA-style A*,1,285.9533188057744,14825,156.44800000000103,1.0,0.0,nan,nan,nan,1.1927139527151426e-15,21,103722
GT Oracle A*,1,285.9533188057741,9691,97.23829999999722,1.0,0.0,nan,nan,nan,0.0,21,103722
Topology+Risk A*,1,285.95331880577436,14265,149.5344000000003,1.0,0.0,nan,nan,nan,9.939282939292855e-16,21,103722
Binary-mask A*,1,206.26702730475918,4858,49.52000000000112,0.7362637362637363,0.2637362637362637,nan,nan,nan,0.0,22,103722
Soft-probability A*,1,207.92388155425175,6837,71.93969999999794,1.0,0.0,nan,nan,nan,0.008032569582944387,22,103722
Clearance-aware A*,1,214.55129855222137,8375,89.74100000000007,1.0,0.0,nan,nan,nan,0.04016284791471877,22,103722
URA-style A*,1,212.06601717798273,6924,69.19730000000257,1.0,0.0,nan,nan,nan,0.02811399354030322,22,103722
GT Oracle A*,1,206.26702730475918,4634,49.3705999999996,1.0,0.0,nan,nan,nan,0.0,22,103722
Topology+Risk A*,1,214.55129855222137,8274,90.04800000000301,1.0,0.0,nan,nan,nan,0.04016284791471877,22,103722
Binary-mask A*,1,335.7106781186551,12810,129.65300000000113,0.9651898734177216,0.034810126582278444,nan,nan,nan,-0.0031803024504971173,23,103722
Soft-probability A*,1,339.36753236814764,15942,168.21159999999935,1.0,0.0,nan,nan,nan,0.007677929308438424,23,103722
Clearance-aware A*,1,347.2670273047593,18408,183.15959999999976,0.9814241486068112,0.018575851393188847,nan,nan,nan,0.031133757992934243,23,103722
URA-style A*,1,347.02438661764006,20882,219.47500000000275,1.0,0.0,nan,nan,nan,0.030413289350998643,23,103722
GT Oracle A*,1,336.78174593052063,11288,116.67639999999935,1.0,0.0,nan,nan,nan,0.0,23,103722
Topology+Risk A*,1,347.8528137423862,19312,210.34429999999915,1.0,0.0,nan,nan,nan,0.03287312315955982,23,103722
Binary-mask A*,1,116.32590180780441,3901,38.98240000000186,1.0,0.0,nan,nan,nan,0.0,24,103722
Soft-probability A*,1,116.32590180780443,5031,53.78289999999808,1.0,0.0,nan,nan,nan,1.2216414826236562e-16,24,103722
Clearance-aware A*,1,116.32590180780444,4935,51.46880000000209,1.0,0.0,nan,nan,nan,2.4432829652473124e-16,24,103722
URA-style A*,1,117.15432893255061,6705,70.0138999999993,1.0,0.0,nan,nan,nan,0.007121605006896399,24,103722
GT Oracle A*,1,116.32590180780441,3784,40.25790000000029,1.0,0.0,nan,nan,nan,0.0,24,103722
Topology+Risk A*,1,116.32590180780443,5294,56.33330000000214,1.0,0.0,nan,nan,nan,1.2216414826236562e-16,24,103722
Binary-mask A*,1,303.4264068711929,8634,96.86489999999992,0.8801369863013698,0.11986301369863017,nan,nan,nan,-0.00543082646817867,25,103722
Soft-probability A*,1,305.91168824543166,13390,143.46929999999958,1.0,0.0,nan,nan,nan,0.0027154132340894283,25,103722
Clearance-aware A*,1,310.8822509939089,15376,170.28910000000153,0.9794520547945206,0.020547945205479423,nan,nan,nan,0.019007892638624693,25,103722
URA-style A*,1,310.88225099390894,15504,159.52579999999728,1.0,0.0,nan,nan,nan,0.019007892638624877,25,103722
GT Oracle A*,1,305.0832611206854,8113,78.83980000000079,1.0,0.0,nan,nan,nan,0.0,25,103722
Topology+Risk A*,1,310.8822509939089,15376,159.2784999999992,1.0,0.0,nan,nan,nan,0.019007892638624693,25,103722
Binary-mask A*,1,524.8599564173237,21210,211.16990000000158,0.8282608695652174,0.17173913043478262,nan,nan,nan,-0.007107900556928334,26,103722
Soft-probability A*,1,532.5168106668161,29515,296.7786000000032,1.0,0.0,nan,nan,nan,0.0073767824484243134,26,103722
Clearance-aware A*,1,545.5878784786817,32964,360.7791999999996,1.0,0.0,nan,nan,nan,0.032103683030199316,26,103722
URA-style A*,1,541.9310242291892,31199,388.0478000000025,1.0,0.0,nan,nan,nan,0.025185910682085755,26,103722
GT Oracle A*,1,528.6173157302044,20435,211.34059999999977,1.0,0.0,nan,nan,nan,0.0,26,103722
Topology+Risk A*,1,545.5878784786817,32624,373.9044000000007,1.0,0.0,nan,nan,nan,0.032103683030199316,26,103722
Binary-mask A*,1,772.7472580451152,41022,427.7772000000013,0.8158995815899581,0.18410041841004188,nan,nan,nan,-0.001384133427803574,27,103722
Soft-probability A*,1,776.404112294608,54044,581.0554000000038,1.0,0.0,nan,nan,nan,0.003341593693537096,27,103722
Clearance-aware A*,1,787.6173157302045,56190,599.7411999999969,0.9917127071823204,0.008287292817679592,nan,nan,nan,0.017832337917225768,27,103722
URA-style A*,1,784.8893936688465,56775,589.1313999999994,1.0,0.0,nan,nan,nan,0.014307063353151744,27,103722
GT Oracle A*,1,773.8183258569809,33527,356.2737000000027,1.0,0.0,nan,nan,nan,0.0,27,103722
Topology+Risk A*,1,788.2031021678314,56783,576.5077000000006,1.0,0.0,nan,nan,nan,0.018589345625692935,27,103722
Binary-mask A*,1,903.3574311003823,49479,495.6798000000049,0.6601941747572816,0.3398058252427184,nan,nan,nan,-0.001184248188943295,28,103722
Soft-probability A*,1,907.0142853498749,71146,750.9324999999976,1.0,0.0,nan,nan,nan,0.002859028038962639,28,103722
Clearance-aware A*,1,914.9137802864866,71727,765.4654999999977,0.9927797833935018,0.0072202166064981865,nan,nan,nan,0.01159326733605736,28,103722
URA-style A*,1,914.6711395993673,77836,892.0923999999957,1.0,0.0,nan,nan,nan,0.011324986662227265,28,103722
GT Oracle A*,1,904.4284989122478,43893,446.60279999999375,1.0,0.0,nan,nan,nan,0.0,28,103722
Topology+Risk A*,1,915.4995667241135,73318,804.5795999999967,1.0,0.0,nan,nan,nan,0.012240954177340465,28,103722
Binary-mask A*,1,568.2741699796961,27354,289.0215999999981,0.7952286282306164,0.20477137176938365,nan,nan,nan,0.0,29,103722
Soft-probability A*,1,568.2741699796964,40373,426.91900000000516,1.0,0.0,nan,nan,nan,4.00112634806815e-16,29,103722
Clearance-aware A*,1,568.2741699796965,40736,441.1198000000027,1.0,0.0,nan,nan,nan,6.001689522102224e-16,29,103722
URA-style A*,1,568.2741699796964,45153,479.67570000000137,1.0,0.0,nan,nan,nan,4.00112634806815e-16,29,103722
GT Oracle A*,1,568.2741699796961,25513,251.06269999999853,1.0,0.0,nan,nan,nan,0.0,29,103722
Topology+Risk A*,1,568.2741699796965,41048,491.4695000000009,1.0,0.0,nan,nan,nan,6.001689522102224e-16,29,103722
Binary-mask A*,1,925.0142853498744,49366,540.0212999999994,0.740521327014218,0.259478672985782,nan,nan,nan,-0.0011565540996937367,30,103722
Soft-probability A*,1,928.6711395993672,71759,772.3208999999969,1.0,0.0,nan,nan,nan,0.002792168593099031,30,103722
Clearance-aware A*,1,936.5706345359789,71559,803.5635000000027,0.9929494712103408,0.007050528789659172,nan,nan,nan,0.011322154419612913,30,103722
URA-style A*,1,936.3279938488596,76553,845.6633000000054,1.0,0.0,nan,nan,nan,0.011060147590230588,30,103722
GT Oracle A*,1,926.0853531617399,41432,444.2036000000016,1.0,0.0,nan,nan,nan,0.0,30,103722
Topology+Risk A*,1,937.1564209736058,72687,792.6458000000025,1.0,0.0,nan,nan,nan,0.011954694860541997,30,103722
Binary-mask A*,1,727.2031021678315,37896,397.43589999999784,0.6204819277108434,0.37951807228915657,nan,nan,nan,-0.007117814548518663,31,103722
Soft-probability A*,1,730.8599564173238,56994,630.941,0.9714714714714715,0.028528528528528496,nan,nan,nan,-0.0021249515804018077,31,103722
Clearance-aware A*,1,738.7594513539356,56839,606.5880000000021,0.970193740685544,0.02980625931445602,nan,nan,nan,0.008660574187082926,31,103722
URA-style A*,1,744.3158005400396,63874,682.7071000000018,1.0,0.0,nan,nan,nan,0.01624690062956465,31,103722
GT Oracle A*,1,732.4163056034279,34592,345.1008999999985,1.0,0.0,nan,nan,nan,0.0,31,103722
Topology+Risk A*,1,741.830519165801,57267,620.3234000000037,0.9836309523809523,0.016369047619047672,nan,nan,nan,0.012853637323949067,31,103722
Binary-mask A*,1,505.0243866176399,18172,184.049899999998,0.6618257261410788,0.3381742738589212,nan,nan,nan,-0.001637684129138889,32,103722
Soft-probability A*,1,509.16652224137096,26904,283.48079999999953,1.0,0.0,nan,nan,nan,0.006550736516556118,32,103722
Clearance-aware A*,1,515.7939392393405,29942,312.5549000000021,0.9875518672199171,0.012448132780082943,nan,nan,nan,0.01965220954966779,32,103722
URA-style A*,1,513.308657865102,30183,327.7489999999972,1.0,0.0,nan,nan,nan,0.014739157162251012,32,103722
GT Oracle A*,1,505.85281374238605,17341,174.1366000000042,1.0,0.0,nan,nan,nan,0.0,32,103722
Topology+Risk A*,1,515.7939392393405,30081,325.00029999999924,1.0,0.0,nan,nan,nan,0.01965220954966779,32,103722
Binary-mask A*,1,1251.7199128346474,83509,867.6547000000028,0.5816235504014273,0.4183764495985727,nan,nan,nan,-0.0038426115185524984,33,103722
Soft-probability A*,1,1263.0336213336325,115745,1234.4490999999991,1.0,0.0,nan,nan,nan,0.005161187331996055,33,103722
Clearance-aware A*,1,1284.0041840821098,109850,1153.7687000000005,0.994759825327511,0.005240174672489051,nan,nan,nan,0.021850209219649787,33,103722
URA-style A*,1,1280.1046891454982,106767,1112.7104999999985,1.0,0.0,nan,nan,nan,0.0187468706431669,33,103722
GT Oracle A*,1,1256.5483399593934,72042,729.4430999999975,1.0,0.0,nan,nan,nan,0.0,33,103722
Topology+Risk A*,1,1284.5899705197367,108005,1151.7689000000005,1.0,0.0,nan,nan,nan,0.022316396169246827,33,103722
Binary-mask A*,1,1296.820417898035,88016,884.7928999999937,0.5457656116338752,0.45423438836612484,nan,nan,nan,-0.003709469833748984,34,103722
