method,success,path_length,expanded_nodes,planning_time_ms,on_road_ratio,off_road_ratio,average_risk,max_risk,min_boundary_distance,relative_detour,query_index,image_id
Clearance-aware A*,1,2098.584053334077,36220,234.45420000000007,0.9960272417707151,0.0039727582292848895,nan,nan,nan,0.0018135463821512684,16,10378780_15
URA-style A*,1,2099.755626209331,35190,229.2083000000016,0.9909297052154195,0.009070294784580546,nan,nan,nan,0.002372827091036121,16,10378780_15
GT Oracle A*,1,2094.785063460853,29915,188.52259999999887,1.0,0.0,nan,nan,nan,0.0,16,10378780_15
Topology+Risk A*,1,2099.99826689645,48143,317.73049999999967,0.9960294951786727,0.003970504821327325,nan,nan,nan,0.0024886579184329035,16,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,17,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,17,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,17,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,17,10378780_15
GT Oracle A*,1,1838.388093841187,26347,164.5594000000017,1.0,0.0,nan,nan,nan,0.0,17,10378780_15
Topology+Risk A*,1,4497.0970388561645,65609,424.63620000000014,0.9939869281045751,0.006013071895424882,nan,nan,nan,1.446217452083138,17,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,18,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,18,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,18,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,18,10378780_15
GT Oracle A*,1,1729.9007204258937,21740,135.70999999999955,1.0,0.0,nan,nan,nan,0.0,18,10378780_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,18,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,19,10378780_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,19,10378780_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,19,10378780_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,19,10378780_15
GT Oracle A*,1,1724.3149339882664,23521,151.02300000000037,1.0,0.0,nan,nan,nan,0.0,19,10378780_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,19,10378780_15
Binary-mask A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,20,10828720_15
Soft-probability A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,20,10828720_15
Clearance-aware A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,20,10828720_15
URA-style A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,20,10828720_15
GT Oracle A*,1,154.88225099390854,1857,11.801999999999424,1.0,0.0,nan,nan,nan,0.0,20,10828720_15
Topology+Risk A*,0,nan,0,0.0,nan,nan,nan,nan,nan,nan,20,10828720_15
Binary-mask A*,1,63.284271247461874,595,3.757799999998923,0.5535714285714286,0.4464285714285714,nan,nan,nan,-2.2455587202123233e-16,21,10828720_15
Soft-probability A*,1,63.284271247461895,909,5.840599999999085,1.0,0.0,nan,nan,nan,1.1227793601061616e-16,21,10828720_15
Clearance-aware A*,1,63.284271247461895,1163,7.386199999999121,1.0,0.0,nan,nan,nan,1.1227793601061616e-16,21,10828720_15
URA-style A*,1,63.284271247461895,1346,8.576300000001424,1.0,0.0,nan,nan,nan,1.1227793601061616e-16,21,10828720_15
GT Oracle A*,1,63.28427124746189,427,2.5396999999998116,1.0,0.0,nan,nan,nan,0.0,21,10828720_15
Topology+Risk A*,1,63.284271247461895,1255,7.958899999998437,1.0,0.0,nan,nan,nan,1.1227793601061616e-16,21,10828720_15
Binary-mask A*,1,1081.2144289248781,43372,282.82159999999834,0.7120669056152927,0.28793309438470727,nan,nan,nan,1.653752576983456,22,10828720_15
Soft-probability A*,1,1085.2144289248783,58206,386.45759999999996,0.9726516052318668,0.027348394768133222,nan,nan,nan,1.6635702505401155,22,10828720_15
